customer_id,first_name,last_name,email,phone_number,address_line1,address_line2,city,state,postal_code,country,date_of_birth,registration_date
1,Megan,Johnson,chadboyle@yahoo.com,+1-152-417-7374x737,6950 Chad Trafficway Suite 946,Suite 738,Sarahchester,Wisconsin,51695,Burkina Faso,1948-01-13,2020-11-09
2,Katherine,Bailey,bryanfowler@rodriguez.org,+1-293-965-6462x29871,6649 Johnson Union,Apt. 795,Kelleyland,New Mexico,54044,Lao People's Democratic Republic,1978-10-17,2023-03-06
3,Robert,Smith,sbaker@gmail.com,959.404.7363,55757 White Station Suite 542,Suite 689,Port Annamouth,North Dakota,59542,Brunei Darussalam,2001-12-09,2023-10-20
4,Jonathan,Mccann,sophia88@hotmail.com,950-506-0980x0069,972 Harrell Trace,Suite 587,Amybury,Vermont,68883,Samoa,1981-03-17,2021-03-19
5,William,Fuentes,james62@gmail.com,750-861-6405x0051,2383 Kennedy Rapids,Suite 780,Annettefurt,Connecticut,56642,Uzbekistan,1972-05-03,2022-01-11
6,Richard,Jones,cward@gaines.com,+1-081-980-3996x411,61808 King Parkways Suite 265,Suite 857,West Victoria,Kentucky,98125,Korea,1970-01-12,2020-09-23
7,Kristen,Barry,allison23@gomez.com,(128)337-9463,170 Vicki Land,Apt. 829,Lake Victorland,Maine,89985,Lithuania,1969-04-17,2024-06-20
8,Kevin,Clark,jacob61@west.net,8871326713,6192 Robert Meadow,Suite 813,Josetown,Louisiana,50939,Bosnia and Herzegovina,1966-11-02,2021-07-13
9,Thomas,Harris,frankmclean@walters-shepard.com,126.764.9380,6261 Nguyen Manor,Suite 849,Emilyhaven,Montana,40568,Serbia,1958-06-13,2022-12-23
10,Brandy,Nunez,chelsea14@gmail.com,+1-627-920-4697,3686 Clayton Village,Suite 951,Lake Juan,Kentucky,54978,Guam,1944-10-28,2021-08-27
11,Rebecca,Mays,farmerjames@yahoo.com,+1-796-583-1488x35438,0766 Macias Oval,Apt. 718,North Brandon,California,79670,Vietnam,2003-01-20,2020-04-26
12,William,Martinez,orowe@hotmail.com,(446)553-1443x13682,75429 Loretta Trafficway Apt. 162,Suite 342,West James,Nevada,01715,Guinea,1997-12-02,2021-04-16
13,Juan,Smith,aguilarmichael@hotmail.com,367-348-5619x77121,34622 Frank Creek Apt. 457,Apt. 900,Floresview,Georgia,27029,Angola,2001-04-26,2023-12-09
14,Katelyn,Wood,mark06@mccall-taylor.com,440.663.0920x66566,179 Robert Lane,Suite 189,Kingtown,Wisconsin,77082,Iraq,1971-07-15,2020-05-19
15,Christine,Johnson,adam31@hotmail.com,4799010298,896 Jacob Overpass,Apt. 156,West Desireeburgh,Alaska,55857,Moldova,1989-11-05,2023-11-06
16,John,Jacobs,edwardsmaureen@gmail.com,256.284.7314,0426 Wilkins Crescent Suite 786,Apt. 960,Cartershire,North Carolina,30624,Paraguay,1965-08-23,2021-07-07
17,Renee,Villarreal,wwhitehead@hotmail.com,(933)200-7448,248 Osborn Burgs Suite 809,Apt. 050,Lake Roberta,Connecticut,09068,Pakistan,1955-01-28,2024-01-22
18,Tonya,Lopez,mlambert@gmail.com,6792020865,07819 Williams Trail Apt. 336,Suite 806,Kevintown,Alaska,67243,Central African Republic,1987-01-02,2020-11-24
19,Lisa,Rodriguez,william22@gmail.com,507-834-6067,0398 Jones Track Apt. 952,Apt. 303,West Darrylview,Washington,81388,Morocco,1957-07-04,2022-08-14
20,Rachel,Cooper,blairapril@hotmail.com,231.881.8386x5439,1445 Amanda Burgs Suite 771,Apt. 105,Kariton,Kansas,83233,Mali,2005-01-31,2021-01-03
21,Kyle,Haley,melvinwillis@gmail.com,5419921707,0026 Lisa Creek Apt. 366,Suite 941,South Miguelfurt,Texas,11543,Christmas Island,1976-11-04,2021-04-20
22,Jessica,Anderson,lisaharris@murphy-erickson.com,(462)082-2634x989,9889 Taylor Neck,Suite 203,Kimberlyfort,Georgia,93066,Puerto Rico,1968-02-27,2021-05-10
23,Rachel,Levy,katherinecole@gmail.com,0309547944,369 White Meadow,Suite 554,New Craig,Nebraska,07936,Western Sahara,1973-04-26,2022-12-21
24,Gabriella,Cox,darlenejohnson@meyers-jones.info,552.178.1122x56384,77108 Brady Estates Suite 575,Apt. 936,New Gary,Utah,05075,Montserrat,2002-12-17,2024-02-10
25,Thomas,Kennedy,tboyd@durham-taylor.net,001-554-808-1619x6711,6206 Brown Station,Apt. 999,West Taraview,Alaska,88237,Saint Lucia,1969-07-27,2024-06-04
26,Craig,Carter,hoovermatthew@garcia.com,001-726-268-0564x4219,872 Eric Lodge Apt. 593,Suite 717,Ayershaven,Nevada,50117,Uzbekistan,1958-10-21,2024-01-09
27,Ryan,Giles,martha85@hotmail.com,859.380.3786x288,0188 Potter Parkways,Suite 395,East Fernando,Illinois,89053,Brunei Darussalam,1985-03-07,2023-06-03
28,Cheryl,Rubio,loganjohnson@martinez.com,3483408546,86459 Keith Stream Apt. 259,Apt. 031,North Rachel,North Dakota,31673,Ecuador,1959-10-15,2024-03-05
29,Robin,Fields,halelaura@gmail.com,(039)437-4006,1618 Pamela Hollow Apt. 862,Apt. 259,Thomasville,Idaho,18383,Jersey,1994-09-07,2023-12-07
30,Tammy,White,samantha16@alexander.org,(802)156-3468x59215,42184 Kimberly Meadow Apt. 325,Apt. 827,Port Laura,Pennsylvania,46775,Estonia,2004-05-29,2021-02-07
31,Thomas,Kaiser,anna76@gmail.com,066.453.8399,37587 Chavez Mission,Apt. 583,West Kathryn,New Hampshire,37822,Rwanda,1957-04-28,2022-01-10
32,Michelle,Garcia,mlang@brown-davis.com,001-073-342-2730,17494 Greene Spring,Suite 291,Jessicaview,Alabama,31946,Nigeria,1975-02-18,2021-03-03
33,Jorge,Carpenter,thompsonchristina@hotmail.com,366-602-9440,36465 Brown Mills Apt. 534,Suite 995,Carrstad,New York,39216,Netherlands,1982-03-22,2022-11-27
34,Linda,Moore,stephen87@miller-williams.biz,001-347-619-5175,654 Ruiz Shores Suite 956,Apt. 843,Mikeland,North Carolina,00694,Saint Helena,1948-09-10,2020-05-31
35,Ana,Hurst,wongcody@gmail.com,990.157.3441,004 Jeff Points,Suite 631,Johnsonfurt,Iowa,57485,Equatorial Guinea,1958-03-18,2021-05-02
